district_no,district_name,ac_no,ac_name,male,female,third_gender,total
1,KASARAGOD,1,MANJESHWAR,114570,112833,0,227403
1,KASARAGOD,2,KASARAGOD,104866,104866,0,209732
1,KASARAGOD,3,UDMA,111473,115723,4,227200
1,KASARAGOD,4,KANHANGAD,108347,114472,6,222825
1,KASARAGOD,5,TRIKARIPUR,101442,107636,3,209081
2,KANNUR,6,PAYYANNUR,90406,97505,3,187914
2,KANNUR,7,KALLIASSERI,96377,105563,1,201941
2,KANNUR,8,TALIPARAMBA,111103,119909,0,231012
2,KANNUR,9,IRIKKUR,98281,99933,0,198214
2,KANNUR,10,AZHIKODE,88486,97497,3,185986
2,KANNUR,11,KANNUR,86964,94308,0,181272
2,KANNUR,12,DHARMADAM,97219,107475,2,204696
2,KANNUR,13,THALASSERY,87957,96057,1,184015
2,KANNUR,14,KUTHUPARAMBA,99500,104958,0,204458
2,KANNUR,15,MATTANNUR,96686,103618,0,200304
2,KANNUR,16,PERAVOOR,88918,91766,1,180685
3,WAYANAD,17,MANANTHAVADY,100897,103935,0,204832
3,WAYANAD,18,SULTHANBATHERY,109011,115145,0,224156
3,WAYANAD,19,KALPETTA,103349,108608,2,211959
4,KOZHIKODE,20,VADAKARA,85537,90371,1,175909
4,KOZHIKODE,21,KUTTIADI,105662,109122,5,214789
4,KOZHIKODE,22,NADAPURAM,115566,116990,2,232558
4,KOZHIKODE,23,QUILANDY,102714,109236,3,211953
4,KOZHIKODE,24,PERAMBRA,100495,104792,0,205287
4,KOZHIKODE,25,BALUSSERI,110722,117176,5,227903
4,KOZHIKODE,26,ELATHUR,101498,108834,2,210334
4,KOZHIKODE,27,KOZHIKODE NORTH,81574,90498,4,172076
4,KOZHIKODE,28,KOZHIKODE SOUTH,75809,79470,2,155281
4,KOZHIKODE,29,BEYPORE,106705,111200,5,217910
4,KOZHIKODE,30,KUNNAMANGALAM,117576,123430,1,241007
4,KOZHIKODE,31,KODUVALLY,99898,101276,0,201174
4,KOZHIKODE,32,THIRUVAMBADY,94587,96707,3,191297
5,MALAPPURAM,33,KONDOTTY,115734,113168,1,228903
5,MALAPPURAM,34,ERANAD,100292,98925,0,199217
5,MALAPPURAM,35,NILAMBUR,115558,120391,7,235956
5,MALAPPURAM,36,WANDOOR,121045,125307,0,246352
5,MALAPPURAM,37,MANJERI,113350,114001,0,227351
5,MALAPPURAM,38,PERINTHALMANNA,113064,115696,1,228761
5,MALAPPURAM,39,MANKADA,114823,115248,2,230073
5,MALAPPURAM,40,MALAPPURAM,119776,117952,0,237728
5,MALAPPURAM,41,VENGARA,108002,102896,4,210902
5,MALAPPURAM,42,VALLIKKUNNU,110895,109224,1,220120
5,MALAPPURAM,43,TIRURANGADI,112683,109439,1,222123
5,MALAPPURAM,44,TANUR,107135,105113,4,212252
5,MALAPPURAM,45,TIRUR,126597,125965,13,252575
5,MALAPPURAM,46,KOTTAKKAL,122085,119479,3,241567
5,MALAPPURAM,47,THAVANUR,103002,104035,0,207037
5,MALAPPURAM,48,PONNANI,106586,108464,3,215053
6,PALAKKAD,49,THRITHALA,99686,103006,2,202694
6,PALAKKAD,50,PATTAMBI,104047,105953,0,210000
6,PALAKKAD,51,SHORNUR,96803,101522,2,198327
6,PALAKKAD,52,OTTAPALAM,101170,107272,2,208444
6,PALAKKAD,53,KONGAD,89452,92338,0,181790
6,PALAKKAD,54,MANNARKAD,101094,104721,1,205816
6,PALAKKAD,55,MALAMPUZHA,94309,99102,5,193416
6,PALAKKAD,56,PALAKKAD,84706,89470,3,174179
6,PALAKKAD,57,TARUR,80465,83059,0,163524
6,PALAKKAD,58,CHITTUR,83080,87018,3,170101
6,PALAKKAD,59,NENMARA,89544,90986,1,180531
6,PALAKKAD,60,ALATHUR,81042,83208,1,164251
7,THRISSUR,61,CHELAKKARA,98424,104830,0,203254
7,THRISSUR,62,KUNNAMKULAM,94746,100346,1,195093
7,THRISSUR,63,GURUVAYOOR,105724,111237,3,216964
7,THRISSUR,64,MANALUR,107466,112336,1,219803
7,THRISSUR,65,WADAKKANCHERY,96725,103552,3,200280
7,THRISSUR,66,OLLUR,90700,96123,1,186824
7,THRISSUR,67,THRISSUR,75977,83814,2,159793
7,THRISSUR,68,NATTIKA,97196,104914,2,202112
7,THRISSUR,69,KAIPAMANGALAM,87378,94177,3,181558
7,THRISSUR,70,IRINJALAKKUDA,93336,99962,2,193300
7,THRISSUR,71,PUTHUKKAD,93724,97239,0,190963
7,THRISSUR,72,CHALAKKUDY,86831,90834,1,177666
7,THRISSUR,73,KODUNGALLUR,90205,95106,0,185311
8,ERNAKULAM,74,PERUMBAVOOR,87595,90641,2,178238
8,ERNAKULAM,75,ANGAMALY,82730,84996,1,167727
8,ERNAKULAM,76,ALUVA,93497,98711,4,192212
8,ERNAKULAM,77,KALAMASSERY,94611,100678,2,195291
8,ERNAKULAM,78,PARAVUR,92444,97182,0,189626
8,ERNAKULAM,79,VYPEN,77659,81838,0,159497
8,ERNAKULAM,80,KOCHI,78987,83414,0,162401
8,ERNAKULAM,81,THRIPUNITHURA,89210,95413,2,184625
8,ERNAKULAM,82,ERANAKULAM,64470,69411,3,133884
8,ERNAKULAM,83,THRIKKAKARA,83207,89927,1,173135
8,ERNAKULAM,84,KUNNATHUNAD,90855,95114,1,185970
8,ERNAKULAM,85,PIRAVOM,93446,99627,2,193075
8,ERNAKULAM,86,MUVATTUPUZHA,90303,93465,4,183772
8,ERNAKULAM,87,KOTHAMANGALAM,83867,86474,0,170341
9,IDUKKI,88,DEVIKULAM,69559,71646,1,141206
9,IDUKKI,89,UDUMBANCHOLA,73684,75424,3,149111
9,IDUKKI,90,THODUPUZHA,92404,94760,3,187167
9,IDUKKI,91,IDUKKI,82473,84024,0,166497
9,IDUKKI,92,PEERUMADE,76585,78687,1,155273
10,KOTTAYAM,93,PALA,84965,89464,0,174429
10,KOTTAYAM,94,KADUTHURUTHY,85233,89518,1,174752
10,KOTTAYAM,95,VAIKOM,75503,79467,3,154973
10,KOTTAYAM,96,ETTUMANOOR,76936,80423,1,157360
10,KOTTAYAM,97,KOTTAYAM,71116,76630,1,147747
10,KOTTAYAM,98,PUTHUPPALLY,82359,86700,5,169064
10,KOTTAYAM,99,CHANGANASSERY,77709,83503,2,161214
10,KOTTAYAM,100,KANJIRAPPALLY,85474,90588,1,176063
10,KOTTAYAM,101,POONJAR,90710,92512,0,183222
11,ALAPPUZHA,102,AROOR,93167,96780,0,189947
11,ALAPPUZHA,103,CHERTHALA,99330,105539,1,204870
11,ALAPPUZHA,104,ALAPPUZHA,92534,97186,0,189720
11,ALAPPUZHA,105,AMBALAPUZHA,82849,86975,2,169826
11,ALAPPUZHA,106,KUTTANAD,75343,77683,0,153026
11,ALAPPUZHA,107,HARIPAD,87373,96135,4,183512
11,ALAPPUZHA,108,KAYAMKULAM,95598,104601,2,200201
11,ALAPPUZHA,109,MAVELIKARA,89763,101203,3,190969
11,ALAPPUZHA,110,CHENGANNUR,89942,98831,3,188776
12,PATHANAMTHITTA,111,THIRUVALLA,94599,102565,0,197164
12,PATHANAMTHITTA,112,RANNI,85261,89912,1,175174
12,PATHANAMTHITTA,113,ARANMULA,102487,111245,0,213732
12,PATHANAMTHITTA,114,KONNI,89805,98987,1,188793
12,PATHANAMTHITTA,115,ADOOR,94394,105542,3,199939
13,KOLLAM,116,KARUNAGAPPALLY,103926,109714,2,213642
13,KOLLAM,117,CHAVARA,86532,91181,2,177715
13,KOLLAM,118,KUNNATHUR,97597,107055,2,204654
13,KOLLAM,119,KOTTARAKKARA,91080,101132,0,192212
13,KOLLAM,120,PATHANAPURAM,84802,94180,1,178983
13,KOLLAM,121,PUNALUR,93525,103138,2,196665
13,KOLLAM,122,CHADAYAMANGALAM,95366,105764,1,201131
13,KOLLAM,123,KUNDARA,98089,107007,4,205100
13,KOLLAM,124,KOLLAM,78562,84542,2,163106
13,KOLLAM,125,ERAVIPURAM,80552,86843,3,167398
13,KOLLAM,126,CHATHANNUR,82412,93651,2,176065
14,THIRUVANANTHAPURAM,127,VARKALA,85848,96830,3,182681
14,THIRUVANANTHAPURAM,128,ATTINGAL,91277,105951,3,197231
14,THIRUVANANTHAPURAM,129,CHIRAYINKEEZHU,90033,104140,8,194181
14,THIRUVANANTHAPURAM,130,NEDUMANGAD,93730,103276,1,197007
14,THIRUVANANTHAPURAM,131,VAMANAPURAM,87908,99208,2,187118
14,THIRUVANANTHAPURAM,132,KAZHAKKOOTTAM,77813,84910,0,162723
14,THIRUVANANTHAPURAM,133,VATTIYOORKAVU,77550,85510,3,163063
14,THIRUVANANTHAPURAM,134,THIRUVANANTHAPURAM,75669,81769,15,157453
14,THIRUVANANTHAPURAM,135,NEMOM,81809,87553,9,169371
14,THIRUVANANTHAPURAM,136,ARUVIKKARA,85576,94604,2,180182
14,THIRUVANANTHAPURAM,137,PARASSALA,94113,99628,1,193742
