district_no,district_name,ac_no,ac_name,male,female,third_gender,total
1,Puducherry,1,MANNADIPET,14600,16460,3,31063
1,Puducherry,2,THIRUBHUVANAI (SC),14976,16867,0,31843
1,Puducherry,3,OUSSUDU (SC),15228,17390,3,32621
1,Puducherry,4,MANGALAM,17431,19475,15,36921
1,Puducherry,5,VILLIANUR,20341,22331,7,42679
1,Puducherry,6,OZHUKARAI,18724,21153,2,39879
1,Puducherry,7,KADIRGAMAM,15035,16252,2,31289
1,Puducherry,8,INDIRA NAGAR,15308,17103,0,32411
1,Puducherry,9,THATTANCHAVADY,12377,14070,5,26452
1,Puducherry,10,KAMARAJ NAGAR,16456,18214,6,34676
1,Puducherry,11,LAWSPET,14101,15695,1,29797
1,Puducherry,12,KALAPET,15847,17786,3,33636
1,Puducherry,13,MUTHIALPET,12145,13841,7,25993
1,Puducherry,14,RAJ BHAVAN,9587,11369,6,20962
1,Puducherry,15,OUPALAM,11567,13714,9,25290
1,Puducherry,16,ORLEAMPETH,9995,11609,7,21611
1,Puducherry,17,NELLITHOPE,12314,14396,1,26711
1,Puducherry,18,MUDALIARPET,16383,17971,4,34358
1,Puducherry,19,ARIANKUPPAM,17665,19665,14,37344
1,Puducherry,20,MANAVELY,16093,18153,9,34255
1,Puducherry,21,EMBALAM (SC),15298,17565,2,32865
1,Puducherry,22,NETTAPAKKAM (SC),14109,16012,8,30129
1,Puducherry,23,BAHOUR,13326,15178,7,28511
1,Puducherry,29,MAHE,13730,16006,0,29736
1,Puducherry,30,YANAM,18319,19345,0,37664
2,Karaikal,24,NEDUNGADU (SC),14776,16724,6,31506
2,Karaikal,25,THIRUNALLAR,14344,16644,1,30989
2,Karaikal,26,KARAIKAL NORTH,15586,17645,10,33241
2,Karaikal,27,KARAIKAL SOUTH,13929,16034,1,29964
2,Karaikal,28,NERAVY-T.R.PATTINAM,14005,15810,0,29815
